ydeg ymin ysec xdeg xmin xsec sourcedist
19 50 45 72 50 15 168
19 42 15 72 18 45 1
19 47 45 72 48 15 152
19 19 15 72 19 15 127
18 17 15 73 22 15 1
19 34 15 71 44 45 55
18 33 15 72 25 15 68
18 53 45 71 54 45 323
19 46 45 72 48 15 148
18 24 15 73 24 15 160
19 40 15 72 38 15 111
18 49 15 70 28 15 91
19 51 15 72 36 15 1
18 31 15 74 19 45 146
18 52 45 71 57 15 336
18 26 15 68 53 15 163
18 21 45 73 7 45 107
18 29 15 73 38 15 73
18 50 15 71 45 45 5
19 31 15 71 55 45 94
18 18 45 71 10 15 206
19 37 45 71 6 45 243
18 35 15 70 39 45 99
19 9 45 71 37 45 57
19 51 15 73 11 15 44
18 28 45 74 24 15 3
19 33 15 70 55 15 177
18 5 45 71 44 15 87
18 17 45 72 48 15 1
19 13 15 72 13 45 172
18 24 15 71 25 45 43
18 18 15 72 8 45 2
18 43 45 70 6 45 36
18 18 45 72 8 45 1
18 31 45 74 17 15 101
18 46 15 72 7 45 4
19 22 45 71 10 15 228
19 30 15 72 3 15 38
18 12 45 72 47 45 45
18 19 15 74 12 15 55
19 7 45 69 44 15 191
18 53 15 72 12 45 388
18 48 45 72 16 45 1
18 20 45 73 3 15 5
19 31 15 70 48 15 149
19 33 45 71 0 15 222
18 29 45 73 21 15 73
18 15 45 74 7 45 1
18 40 45 69 26 15 65
18 43 45 71 58 15 13
18 38 15 71 13 45 81
18 50 45 72 6 15 362
18 19 15 73 33 15 64
18 26 45 72 10 45 120
18 48 45 70 28 15 92
19 45 15 72 47 15 147
19 5 45 71 55 15 265
19 16 15 72 28 45 6
18 46 15 70 27 15 101
18 54 45 71 56 45 188
18 54 15 72 32 15 78
18 55 15 72 17 45 406
18 25 45 71 57 45 2
18 43 15 72 15 15 2
18 31 45 74 24 15 112
18 20 15 73 8 45 5
18 26 45 71 6 45 75
19 19 15 70 42 45 40
18 36 15 74 10 15 201
18 41 45 72 12 15 37
18 17 45 73 30 15 6
18 31 45 70 6 45 96
18 12 45 72 50 45 130
19 3 15 70 11 45 35
18 54 15 72 3 45 348
18 20 45 73 49 45 6
18 51 15 71 47 45 111
18 25 15 72 39 45 34
19 15 45 72 21 45 1
18 25 15 74 23 45 108
18 17 45 72 39 15 35
19 9 15 71 46 15 39
19 14 45 72 31 45 15
18 32 15 69 50 45 172
18 53 45 71 20 45 34
19 35 15 72 31 45 1
18 53 15 72 32 15 82
18 5 15 71 44 15 88
19 21 45 70 58 15 283
18 54 45 71 7 15 1
18 22 45 73 30 15 67
19 34 15 72 0 15 38
18 9 45 73 59 15 37
18 20 45 73 8 45 6
19 0 45 71 57 15 156
18 23 15 72 4 45 4
19 43 45 71 36 15 1
18 20 15 74 7 45 1
19 32 15 71 42 15 60
18 17 15 72 50 45 92
19 38 45 72 22 15 8
18 18 15 73 51 45 49
19 35 45 70 31 45 48
19 17 15 71 17 15 71
19 10 45 72 7 15 198
18 37 15 69 47 45 144
19 49 15 70 58 45 136
19 50 45 72 31 15 141
18 20 15 73 32 45 1
18 48 45 72 29 45 38
18 22 15 73 19 15 134
18 28 15 72 37 45 1
19 25 15 72 27 15 2
19 36 45 72 36 45 73
18 16 15 72 57 15 52
18 24 45 74 0 15 2
19 24 45 70 58 15 267
19 27 15 71 18 45 74
18 17 15 74 9 15 1
18 26 45 72 31 45 39
18 34 15 69 22 45 125
18 42 45 72 13 15 4
18 21 45 73 22 45 150
19 13 45 71 37 45 41
19 38 15 71 9 45 257
18 23 45 74 23 45 43
19 39 15 72 14 45 93
18 42 45 69 52 45 107
18 28 15 70 3 15 116
18 14 15 73 45 15 69
19 11 15 69 52 45 153
19 24 15 72 29 15 3
18 24 45 73 20 15 179
19 11 45 72 28 45 2
19 0 15 72 1 15 37
18 20 45 71 11 15 192
18 30 15 70 18 45 52
18 17 15 70 31 15 102
19 17 45 71 3 15 321
19 52 15 73 11 15 50
18 29 45 74 24 45 71
18 14 45 72 33 45 2
18 9 15 72 54 15 33
18 30 15 72 12 15 134
19 28 15 70 42 15 106
18 19 15 74 8 45 3
19 30 15 71 47 45 5
18 57 45 72 17 45 42
18 16 45 73 2 45 121
18 33 15 69 59 45 78
18 38 15 72 12 15 9
18 28 45 68 52 15 152
19 51 15 71 2 15 119
18 33 15 74 1 15 176
18 42 45 71 9 15 101
18 38 15 68 43 15 100
18 17 45 73 7 15 35
18 50 45 71 35 15 36
19 36 45 71 13 15 266
18 37 15 69 48 45 138
18 9 45 73 48 15 1
18 13 45 72 49 45 104
18 17 45 72 34 15 99
19 34 15 72 3 45 1
19 39 15 72 9 15 136
19 48 45 70 58 45 137
18 34 15 70 3 15 66
19 35 15 72 14 45 1
18 50 45 72 56 15 70
18 35 45 72 15 45 146
19 54 45 72 43 15 35
18 32 15 74 1 15 112
19 9 15 70 18 45 51
