daysince2010 Centre Grand'Anse L'Artibonite Nippes Nord Nord-Est Nord-Ouest Ouest Port-au-Prince Sud Sud-Est
291 5.144655 12.26207 4.64362 0.1016 35.64878 6.757939 8.143394 9.088104 9.088104 0.01612698 0.5753253
292 8.626764 0.1926897 23.06487 0 1.104777 1.416242 0.261697 5.326602 5.326602 0.08063492 0.01224096
293 6.419273 13.54083 1.745521 16.002 45.8285 13.99309 27.12412 4.576932 4.576932 9.337524 42.92906
294 0 1.471448 0 66.4972 0 0 0.04618182 0.1380971 0.1380971 0.1612698 41.1786
295 0 0 0 0 0 0 0 0 0 0 0
296 0 0 0.03997377 0 0 0.1077576 2.97103 0.006576052 0.006576052 0 0
297 0 3.731172 0 0.1778 0 0 0 0.5392363 0.5392363 0 6.083759
298 0 0.2627586 0 0 0 0 0 0.2170097 0.2170097 0 0.1346506
299 0 0 0 0.3556 0 0 0.0769697 0.01972816 0.01972816 0 0.01224096
300 0.04618182 0 0.02664918 0.0254 0 0 0.01539394 23.62775 23.62775 9.660064 0
301 0 0 0 0 0 0 0 0 0 0 0
302 0 0 0 0 0 0 0 0 0 0 0
303 0 0 0 0 0 0 0 0 0 0 0
304 0.2401455 0.1226207 0.6262557 0 0 0 0 0.381411 0.381411 0 0
305 0 0.9459311 0 0 0 0 0 0 0 0 0
306 0 0 0 0 0 0 0 0.24989 0.24989 0.9353651 0
307 0 7.655035 0.1865443 10.1092 0 0.01539394 0 1.183689 1.183689 0.2096508 7.503711
308 11.82255 126.7723 14.1707 79.6544 10.63348 26.86242 7.112 60.74957 60.74957 105.9059 102.3467
309 64.89469 72.7491 120.3077 4.9784 97.71355 67.76412 87.69927 49.2612 49.2612 29.83492 38.96299
310 0 0 0 0 0 0 0 0.374835 0.374835 0.01612698 0
311 0 0 0 0 0 0 0 0 0 0.1128889 0
312 0.06465455 0 0 0 0 0 0 0.4142913 0.4142913 0.1773968 0
313 0 0.1576552 0.2531672 3.1496 0 0 0.01539394 0.03288026 0.03288026 0 1.468916
314 0 0 0 0 0 0 0 0 0 0 0
315 0 0 0 0 0 0 0 0 0 0 0
316 0 0 0 0 0 0 0 0 0 0 0
317 0 0 0 0 0 0 0 0 0 0 0
318 0 0 0 0 0 0 0 0 0 0 0
319 0 0 0 0 0 0 0 0 0 0 0.04896386
320 0 0.2627586 0 0 0 0 0 0 0 0 1.689253
321 0 0 0 0 0 0 0 0 0 0 0
322 0 0 0 0 0 0 0 0 0 0 0
323 0 0 0 0 0 0 0 0 0 0 0
324 0 0 0 0 0 0 0 0 0 0 0
325 0 0 0 0 0 0 0 0 0 0 0
326 0 0 0 0 0 0 0 0 0 0 0
327 0 0 0 0 0 0 0 0 0 0 0
328 0 0 0 0 0 0 0 0 0 0 0
329 0 0 0 0 0 0 0 0 0 0 0
330 0 0 0 0 0 0 0 0 0 0 0
331 0 0 0 0 0 0 0 0 0 0 0
332 0 0 0 0 0 0 0 0 0 0 0
333 0 0 0 0 0 0 0 0 0 0 0
334 0 0 0 0 0 0 0 0 0 0 0
335 0 0 0 0 0 0 0 0 0 0 0
336 0 0 0 0 0 0 0 0 0 0 0
337 0 0 0 0 0 0 0 0 0 0 0
338 0 0 0 0 0 0 0 0 0 0 0
339 0 0 0 0 0 0 0 0 0 0 0
340 0 0 0 0 0 0 0 0 0 0 0
341 0 0 0 0 0 0 0 0 0 0 0
342 0.03694546 1.471448 0.07328525 1.778 0 0.1385455 0.01539394 0.2827702 0.2827702 0.6612064 2.631807
343 0.009236364 9.96731 0.04663607 0.1016 0 2.647758 0 0.2893463 0.2893463 0.06450794 4.529157
344 0.01847273 17.53476 0.09993443 6.4262 0 0.03078788 0 2.143793 2.143793 5.450921 7.797494
345 0 0 0 0 0 0 0 0 0 0 0
346 0.3140364 40.06193 0.3864131 26.1874 0.07891262 0 0.2309091 7.102136 7.102136 13.96597 45.52414
347 0 0 0.6262558 0 0 0.8774546 0.2001212 0.8351586 0.8351586 6.612064 0
348 0 0 0 0 0 0 0 0 0 0 0
349 0.4710546 1.471448 0.5796197 1.9304 0 0 0.2924849 0.3353786 0.3353786 0 0.9792771
350 0 0 0 0 0 0 0 0 0 0 0
351 0 0 0 0 0 0 0 0 0 0 0
352 0 0.8408276 0 0.1524 0 0 0 0 0 0 1.162892
353 0 0 0 0 0 0 0 0 0 0 0
354 0 0 0 0 0 0 0 0 0 0 0
